Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-03-04,3.7,3.73,3.68,3.7,10525109
2014-03-05,3.7,3.73,3.69,3.71,10741169
2014-03-06,3.72,3.75,3.71,3.73,10818350
2014-03-07,3.75,4.02,3.75,3.95,55460700
2014-03-10,4.04,4.06,3.8,3.81,42225662
2014-03-11,3.86,4.01,3.83,3.85,34992925
2014-03-12,3.86,3.93,3.85,3.91,14745331
2014-03-13,3.94,3.99,3.84,3.86,19802984
2014-03-14,3.84,3.9,3.82,3.85,18169147
2014-03-17,3.88,3.91,3.78,3.8,20004147
2014-03-18,3.82,3.91,3.81,3.89,15273747
2014-03-19,3.91,4,3.9,3.98,28459309
2014-03-20,3.96,4.05,3.9,4.05,23600569
2014-03-21,4.07,4.14,4.01,4.04,23985330
2014-03-24,4.06,4.14,3.98,4.05,20670291
2014-03-25,4.09,4.12,4.02,4.05,14517030
2014-03-26,4.08,4.1,4.02,4.05,14808600
2014-03-27,3.99,4.07,3.87,3.91,24531987
2014-03-28,3.93,3.97,3.87,3.88,13189192
2014-03-31,3.93,4.02,3.9,4.01,15381972
2014-04-01,4.04,4.1,4.02,4.07,18764952
2014-04-02,4.12,4.12,4.06,4.06,14837291
2014-04-03,4.07,4.1,3.97,4,16798836
2014-04-04,4.03,4.11,3.92,4.01,23414839
2014-04-07,3.98,3.99,3.83,3.88,24826052
2014-04-08,3.89,4,3.83,3.99,17342269
2014-04-09,4.01,4.02,3.95,3.98,11270634
2014-04-10,3.97,4.01,3.84,3.85,21358689
2014-04-11,3.82,3.85,3.65,3.65,34415059
2014-04-14,3.72,3.78,3.65,3.71,22736812
2014-04-15,3.74,3.82,3.72,3.79,21723631
2014-04-16,3.82,3.83,3.73,3.76,18133098
2014-04-17,3.78,3.8,3.69,3.69,31834812
2014-04-21,4.01,4.2,3.96,4.12,102610425
2014-04-22,4.13,4.31,4.11,4.3,52751800
2014-04-23,4.28,4.3,4.16,4.25,29127672
2014-04-24,4.27,4.35,4.2,4.28,27522000
2014-04-25,4.21,4.26,4.04,4.05,37753641
2014-04-28,4.09,4.12,3.87,3.96,31642728
2014-04-29,4.02,4.03,3.96,4.03,14582939
2014-04-30,4,4.1,3.99,4.09,18408156
2014-05-01,4.13,4.24,4.1,4.2,37788275
2014-05-02,4.18,4.2,4.1,4.12,14479512
2014-05-05,4.1,4.14,4.06,4.09,8987850
2014-05-06,4.06,4.13,3.98,4.01,17903809
2014-05-07,4.04,4.04,3.89,3.97,22374880
2014-05-08,3.95,4.03,3.91,3.93,14552485
2014-05-09,3.91,3.93,3.85,3.87,15979791
2014-05-12,3.87,4,3.86,3.97,14785612
2014-05-13,3.99,4.09,3.98,4.03,11218870
2014-05-14,4.03,4.06,3.98,3.98,10350787
2014-05-15,3.96,3.98,3.89,3.96,18000950
2014-05-16,3.95,4.05,3.91,4.02,17154153
2014-05-19,4,4.1,3.96,4.09,18174033
2014-05-20,4.09,4.11,4,4.05,15648653
2014-05-21,4.06,4.1,4.05,4.1,13369483
2014-05-22,4.09,4.09,4.01,4.01,11902116
2014-05-23,4.03,4.06,3.97,4.02,9805773
2014-05-27,4.05,4.06,4.03,4.04,6919174
2014-05-28,4.04,4.06,3.99,4,12293821
2014-05-29,4.02,4.06,4.01,4.03,8877728
2014-05-30,4.02,4.03,3.98,4,10030644
2014-06-02,4.03,4.03,3.94,3.97,10861039
2014-06-03,3.96,3.98,3.92,3.94,10852663
2014-06-04,3.93,4.05,3.93,4.04,13267922
2014-06-05,4.04,4.09,4.02,4.08,13723806
2014-06-06,4.09,4.11,4.06,4.06,8470954
2014-06-09,4.05,4.1,4.04,4.07,7596191
2014-06-10,4.1,4.23,4.1,4.2,28309241
2014-06-11,4.18,4.3,4.17,4.29,20581460
2014-06-12,4.33,4.44,4.28,4.29,26670053
2014-06-13,4.36,4.39,4.24,4.28,17736656
2014-06-16,4.26,4.44,4.26,4.44,26182789
2014-06-17,4.41,4.5,4.41,4.47,19442728
2014-06-18,4.5,4.5,4.35,4.4,14691111
2014-06-19,4.42,4.45,4.33,4.36,10887057
2014-06-20,4.34,4.37,4.07,4.1,54687794
2014-06-23,4.06,4.08,3.9,4.01,49638062
2014-06-24,4.01,4.07,3.93,3.94,20380345
2014-06-25,3.95,4,3.94,3.96,13811203
2014-06-26,3.95,4.09,3.94,4.03,21634872
2014-06-27,4.06,4.11,4.04,4.11,16039403
2014-06-30,4.12,4.25,4.08,4.19,25833219
2014-07-01,4.21,4.26,4.17,4.22,29401132
2014-07-02,4.23,4.35,4.22,4.34,20486400
2014-07-03,4.36,4.4,4.14,4.24,22521686
2014-07-07,4.23,4.31,4.21,4.26,21168195
2014-07-08,4.25,4.3,4.1,4.22,41683887
2014-07-09,4.21,4.29,4.2,4.23,18464198
2014-07-10,4.18,4.36,4.14,4.29,39245042
2014-07-11,4.3,4.4,4.29,4.37,22423661
2014-07-14,4.44,4.65,4.39,4.64,72996656
2014-07-15,4.63,4.8,4.41,4.53,156227000
2014-07-16,4.6,4.77,4.57,4.66,61902481
2014-07-17,4.66,4.68,4.5,4.57,50588331
2014-07-18,3.73,3.84,3.67,3.83,137527325
2014-07-21,3.86,3.87,3.75,3.78,34207247
2014-07-22,3.82,3.86,3.78,3.8,33985619
2014-07-23,3.82,3.83,3.75,3.76,31744237
2014-07-24,3.75,3.8,3.71,3.73,27938650
2014-07-25,3.73,3.79,3.69,3.76,31781550
2014-07-28,3.77,3.78,3.68,3.73,31446375
2014-07-29,3.74,3.84,3.73,3.79,36142602
2014-07-30,3.82,3.88,3.77,3.82,42971587
2014-07-31,3.8,3.99,3.78,3.91,112151925
2014-08-01,3.91,4.02,3.87,3.97,33710228
2014-08-04,3.97,4.02,3.93,4,21491629
2014-08-05,3.99,4.11,3.97,4.08,40335412
2014-08-06,4.06,4.14,4.03,4.12,16274466
2014-08-07,4.14,4.2,4.07,4.1,32712281
2014-08-08,4.1,4.15,4.05,4.12,27166947
2014-08-11,4.03,4.19,3.99,4.14,29560659
